Suburb,Children,Yadult,Oadult,Old
Albury,9416,17143,18061,5623
Armidale Dumaresq,4752,9351,8604,2636
Ashfield,6845,17587,14996,4747
Auburn,16401,36781,25395,4790
Ballina,7181,10215,17448,6491
Balranald,427,657,1004,283
Bankstown,42274,68768,66813,19119
Bathurst Regional,8271,14251,14576,3953
Bega Valley,5552,7337,15291,5133
Bellingen,2471,2821,5735,1827
Berrigan,1396,2003,3487,1479
Blacktown,75141,122753,107923,19368
Bland,1348,1557,2212,893
Blayney,1659,1987,2829,855
Blue Mountains,14972,21486,34279,8488
Bogan,678,862,1127,370
Bombala,420,560,1080,341
Boorowa,513,597,1099,349
Botany Bay,7711,16274,15074,4233
Bourke,737,940,1092,227
Brewarrina,522,566,714,138
Broken Hill,3392,5310,7560,2786
Burwood,5120,15243,11274,3661
Byron,5758,8519,14475,2860
Cabonne,2949,3494,5555,1697
Camden,14895,22514,21563,4276
Campbelltown,32572,56912,55589,9465
Canada Bay,14103,32584,29883,8336
Canterbury,29203,54171,50903,14576
Carrathool,537,810,1130,315
Central Darling,449,620,846,155
Cessnock,11434,17767,20041,5071
Clarence Valley,9118,12348,21769,7808
Cobar,1154,1767,1653,450
Coffs Harbour,13594,19940,29144,9120
Conargo,361,418,642,122
Coolamon,922,969,1713,672
Cooma-Monaro,1869,2673,4211,1320
Coonamble,845,1282,1636,516
Cootamundra,1393,1747,3139,1346
Corowa Shire,2018,2802,4556,2034
Cowra,2280,3182,5110,1979
Deniliquin,1338,1970,2891,1177
Dubbo,9041,13307,14493,4134
Dungog,1628,2259,3887,1110
Eurobodalla,6070,7547,16753,6864
Fairfield,39790,71372,72809,17456
Forbes,1971,2754,3641,1298
Gilgandra,897,1084,1793,714
Glen Innes Severn,1598,2202,3746,1359
Gloucester,828,1008,2209,929
Gosford,31042,49397,66445,23868
Goulburn Mulwaree,5439,8643,11494,3654
Great Lakes,5491,6996,15627,8198
Greater Hume Shire,2108,2563,4274,1231
Greater Taree,8859,11573,20556,7858
Griffith,5573,8355,8830,2667
Gundagai,777,959,1510,501
Gunnedah,2641,3826,4556,1665
Guyra,967,1257,1841,580
Gwydir,931,1142,2181,850
Harden,743,831,1595,593
Hawkesbury,13473,21786,24674,5181
Hay,589,706,1218,449
Holroyd,22708,42457,34706,9018
Hornsby,31599,53216,65004,17036
Hunters Hill,2765,4326,5479,1921
Hurstville,14982,30380,29879,9618
Inverell,3482,4798,6167,2280
Jerilderie,272,367,649,216
Junee,1181,2002,2456,588
Kempsey,5641,7258,12376,4086
Kiama,3636,5323,8980,3108
Kogarah,10470,21823,22042,6076
Ku-ring-gai,23688,32903,47577,14859
Kyogle,1715,2263,4378,1182
Lachlan,1449,1932,2451,916
Lake Macquarie,36670,59841,78132,26153
Lane Cove,6361,12040,12428,3167
Leeton,2604,3711,4017,1207
Leichhardt,9713,21670,22105,3778
Lismore,8457,13394,18108,4678
Lithgow,3838,5976,8658,2646
Liverpool,44200,72718,66091,12346
Liverpool Plains,1465,2018,3178,1102
Lockhart,622,656,1301,442
Maitland,15903,24909,26324,6311
Manly,8336,16159,15715,4022
Marrickville,12093,35342,28874,6214
Mid-Western Regional,4843,6593,9509,2898
Moree Plains,3238,4727,5059,1226
Mosman,5368,9216,12064,3335
Murray,1264,1713,3125,1316
Murrumbidgee,540,729,939,295
Muswellbrook,3691,6090,5824,1246
Nambucca,3382,4241,8450,3456
Narrabri,3027,3967,5158,1533
Narrandera,1246,1572,2342,870
Narromine,1660,1778,2612,822
Newcastle,26750,58684,55697,17422
North Sydney,7909,31626,23916,5797
Oberon,962,1436,2254,618
Orange,8877,14006,13879,4107
Palerang,3225,3974,6943,1164
Parkes,3303,4342,5410,2032
Parramatta,34893,76792,57630,15307
Penrith,39961,70754,67535,12178
Pittwater,12122,16489,26080,7379
Port Macquarie-Hastings,13408,17988,31390,13777
Port Stephens,13114,18832,27721,9268
Queanbeyan,7838,14958,15013,2759
Randwick,21349,62142,45629,13190
Richmond Valley,4627,5989,8852,3281
Rockdale,18456,40347,36555,11354
Ryde,18553,43934,38559,11499
Shellharbour,13968,21581,25350,6898
Shoalhaven,16878,24431,40136,16249
Singleton,4985,8371,8711,1684
Snowy River,1562,2473,3371,681
Strathfield,6255,16714,12180,3209
Sutherland Shire,41901,72378,85417,23496
Sydney,14275,112127,55740,9776
Tamworth Regional,12323,17880,22497,7043
Temora,1243,1357,2395,1000
Tenterfield,1241,1471,3172,1089
The Hills Shire,38063,58404,73126,13970
Tumbarumba,660,898,1456,507
Tumut Shire,2286,3043,4451,1536
Tweed,15791,22787,36302,15234
Upper Hunter Shire,3134,4493,5396,1627
Upper Lachlan Shire,1406,1712,3294,1174
Uralla,1300,1628,2769,673
Urana,210,240,507,200
Wagga Wagga,12716,22567,20926,5940
Wakool,623,956,1777,623
Walcha,538,743,1330,476
Walgett,1390,1814,2791,790
Warren,622,736,1201,351
Warringah,30376,48795,56636,16829
Warrumbungle Shire,1920,2267,4020,1571
Waverley,11013,31652,22232,5809
Weddin,669,793,1606,643
Wellington,1825,2520,3418,1192
Wentworth,1356,1856,2807,813
Willoughby,13706,26535,26252,6662
Wingecarribee,8866,11183,19690,7315
Wollondilly,10315,14779,17787,3414
Wollongong,37243,69532,74208,24248
Woollahra,8721,21639,20600,6717
Wyong,31144,46507,58292,21415
Yass Valley,3547,4526,6745,1452
Young,2753,3545,4747,1654
Unincorporated NSW,205,324,498,94
No usual address,0,0,0,0
Alpine,2006,2561,5575,1902
Ararat,1929,2878,4734,1666
Ballarat,18951,33973,35103,10657
Banyule,21960,42068,46469,13978
Bass Coast,5250,7687,13169,4904
Baw Baw,8801,12937,18101,5366
Bayside,18974,25637,41287,12470
Benalla,2346,3320,5876,2177
Boroondara,28675,60246,63456,18176
Brimbank,36556,73723,69585,15605
Buloke,1128,1319,2654,1120
Campaspe,7116,9676,14923,5204
Cardinia,19486,29551,29101,5927
Casey,61813,101541,94775,16987
Central Goldfields,2105,2837,5382,2278
Colac-Otway,3759,5704,8444,2787
Corangamite,3229,4033,6500,2375
Darebin,23627,59052,48280,15838
East Gippsland,7466,10027,18722,7198
Frankston,25169,45905,49783,12703
Gannawarra,1788,2373,4281,1884
Glen Eira,25499,50393,50346,15281
Glenelg,3487,5111,8402,2521
Golden Plains,4618,5707,8465,1361
Greater Bendigo,20373,34230,38836,11893
Greater Dandenong,26482,56609,49189,14447
Greater Geelong,40214,71244,83280,26777
Greater Shepparton,13098,19768,23250,6668
Hepburn,2579,3384,6896,1984
Hindmarsh,960,1287,2383,1065
Hobsons Bay,16025,31167,33086,8833
Horsham,3786,5842,7403,2656
Hume,40558,68664,62855,11186
Indigo,2867,3640,7039,1826
Kingston,26366,50049,57556,17715
Knox,27641,52411,60759,14098
Latrobe,13972,23411,28186,8277
Loddon,1245,1437,3479,1282
Macedon Ranges,9093,11942,19109,3954
Manningham,18517,35137,47225,16658
Mansfield,1565,1993,3576,1051
Maribyrnong,13100,36038,24570,5594
Maroondah,20257,37280,40626,11412
Melbourne,7757,79035,25003,4652
Melton,29777,48423,39543,5166
Mildura,10704,16109,19635,6237
Mitchell,8042,12032,14307,2985
Moira,5412,7132,11525,4606
Monash,28089,68102,63342,22952
Moonee Valley,19375,41030,41547,13145
Moorabool,6321,9084,12380,2535
Moreland,25928,67587,48893,17621
Mornington Peninsula,27342,39352,61732,23834
Mount Alexander,2802,4181,8358,2653
Moyne,3436,4217,6825,1799
Murrindindi,2243,3291,6293,1667
Nillumbik,12477,18970,27294,3983
Northern Grampians,1957,2894,5189,1759
Port Phillip,11337,49442,35003,6719
Pyrenees,1060,1445,3212,1053
Queenscliffe,424,583,1323,728
South Gippsland,5226,6904,11841,3959
Southern Grampians,2967,4331,6451,2396
Stonnington,13180,45800,33622,10585
Strathbogie,1534,2143,4217,1812
Surf Coast,6077,7903,11575,2727
Swan Hill,4262,6445,7612,2548
Towong,1055,1224,2730,880
Wangaratta,5029,7277,11053,3838
Warrnambool,6346,10922,12067,3965
Wellington,7879,12206,17180,5054
West Wimmera,755,840,1794,700
Whitehorse,27223,56604,57250,20647
Whittlesea,37758,68810,60005,12688
Wodonga,7983,13155,12988,3219
Wyndham,45174,78427,58012,8005
Yarra,9575,42633,25729,5656
Yarra Ranges,28986,47301,60471,12780
Yarriambiack,1189,1483,2987,1359
Unincorporated Vic,88,391,229,50
No usual address (Vic.),0,0,0,0
Aurukun,392,605,381,23
Balonne,1199,1443,1833,411
Banana,3625,4979,5312,1284
Barcaldine,700,971,1340,350
Barcoo,54,124,165,21
Blackall Tambo,449,686,933,251
Boulia,104,208,157,27
Brisbane,198388,459814,382643,90346
Bulloo,71,150,145,42
Bundaberg,17579,25055,38255,13087
Burdekin,3565,5112,7008,2203
Burke,107,228,212,9
Cairns,36162,57265,63949,11242
Carpentaria,494,681,927,123
Cassowary Coast,5320,7900,12107,3367
Central Highlands,7358,12263,10486,1182
Charters Towers,2816,3654,4676,1345
Cherbourg,448,504,308,26
Cloncurry,662,1369,1259,123
Cook,791,1603,1769,230
Croydon,78,121,93,30
Diamantina,34,123,121,14
Doomadgee,501,570,291,20
Etheridge,161,234,416,107
Flinders,362,459,771,236
Fraser Coast,18648,24839,41947,14863
Gladstone,14396,22379,23540,3640
Gold Coast,98121,187509,198847,53367
Goondiwindi,2602,3115,4140,1175
Gympie,9668,12191,20373,5913
Hinchinbrook,1996,2853,4940,1911
Hope Vale,302,494,254,30
Ipswich,43193,68908,58926,12078
Isaac,5993,9629,8042,611
Kowanyama,317,450,336,12
Lockhart River,122,222,158,27
Lockyer Valley,8043,12028,14227,3354
Logan,67913,109650,104343,18761
Longreach,1090,1357,1454,343
Mackay,25620,42659,44872,8758
McKinlay,191,444,389,61
Mapoon,65,93,116,14
Maranoa,3039,4639,4927,1195
Moreton Bay,87860,133180,152176,35698
Mornington,432,399,357,26
Mount Isa,5292,9542,7049,896
Murweh,1069,1509,1684,474
Napranum,287,378,232,29
North Burnett,1974,2525,4390,1471
Northern Peninsula Area,856,1001,623,80
Palm Island,767,1030,737,56
Paroo,432,555,730,186
Pormpuraaw,183,244,266,34
Quilpie,249,245,419,70
Redland,28831,44930,59072,14604
Richmond,164,264,356,61
Rockhampton,24513,39285,42851,11394
Scenic Rim,7746,9985,16327,4341
Somerset,4842,6208,9866,2371
South Burnett,6804,8409,13262,4166
Southern Downs,7158,9298,14321,4782
Sunshine Coast,60745,92060,135549,42144
Tablelands,9174,12014,19374,5613
Toowoomba,33706,51762,57468,17315
Torres,1052,1370,1044,137
Torres Strait Island,1550,1717,1153,147
Townsville,39267,73122,64246,12603
Weipa,971,1577,1202,45
Western Downs,7787,10448,12095,3164
Whitsunday,6317,11938,13109,2652
Winton,264,369,592,157
Woorabinda,327,390,257,22
Wujal Wujal,76,121,85,3
Yarrabah,918,1048,646,69
Unincorporated Qld,0,0,0,0
No usual address,0,0,0,0
Adelaide,1278,12792,6413,1717
Adelaide Hills,7733,10358,18115,3626
Alexandrina,3997,5772,10879,4176
Anangu Pitjantjatjara,681,1296,657,100
Barossa,4472,6222,9332,2782
Barunga West,376,472,1144,460
Berri and Barmera,2074,2880,4276,1381
Burnside,6906,12662,18337,6595
Campbelltown,8367,16218,18782,7526
Ceduna,767,1177,1442,284
Charles Sturt,17564,36705,42038,14929
Clare and Gilbert Valleys,1828,2210,3829,1127
Cleve,363,407,718,263
Coober Pedy,274,528,770,215
Copper Coast,2311,3253,5794,2329
Elliston,200,293,497,78
Flinders Ranges,284,410,723,232
Franklin Harbour,250,325,596,126
Gawler,3812,6668,8183,2927
Goyder,775,932,1865,667
Grant,1583,2047,3650,732
Holdfast Bay,4569,11101,15162,5931
Kangaroo Island,814,1038,2138,563
Karoonda East Murray,182,224,461,149
Kimba,199,313,430,161
Kingston,356,600,1090,361
Light,3200,4305,5908,1046
Lower Eyre Peninsula,1065,1320,2155,457
Loxton Waikerie,2081,3001,4820,1552
Mallala,1769,2449,3793,600
Maralinga Tjarutja,10,25,32,8
Marion,14183,30389,32455,10547
Mid Murray,1203,1829,4070,1179
Mitcham,11370,20228,25720,8402
Mount Barker,6666,9650,12461,2548
Mount Gambier,5288,8430,9422,2952
Mount Remarkable,450,566,1335,434
Murray Bridge,3887,6402,7790,2500
Naracoorte and Lucindale,1588,2553,3324,976
Northern Areas,808,1138,1899,663
Norwood Payneham St Peters,5195,13722,12997,4954
Onkaparinga,31808,53820,64815,15992
Orroroo/Carrieton,143,175,393,149
Peterborough,294,352,820,319
Playford,19423,31282,27485,6879
Port Adelaide Enfield,20768,44372,42558,12729
Port Augusta,2859,4693,5613,1440
Port Lincoln,2915,4701,5402,1714
Port Pirie City and Dists,3402,4966,6873,2384
Prospect,3476,8166,7586,1905
Renmark Paringa,1697,2731,3768,1150
Robe,204,400,590,193
Roxby Downs,1000,2518,1490,23
Salisbury,26310,50059,47927,11626
Southern Mallee,402,593,814,267
Streaky Bay,454,552,965,274
Tatiara,1397,1894,2630,774
Tea Tree Gully,17310,31368,39491,10209
The Coorong,1052,1409,2380,745
Tumby Bay,488,587,1149,482
Unley,6195,13401,14692,4407
Victor Harbor,1849,2802,6209,3779
Wakefield,1403,1781,2743,899
Walkerville,1174,2052,3001,1141
Wattle Range,2207,3021,5014,1427
West Torrens,8641,22445,19350,7722
Whyalla,4356,7325,8452,2429
Wudinna,334,323,481,145
Yankalilla,650,869,2259,778
Yorke Peninsula,1690,2148,5082,2199
Unincorporated SA,700,1529,2008,227
No usual address,0,0,0,0
Albany,7067,10541,13966,4688
Armadale,15835,27609,25051,5230
Ashburton,1609,5145,4145,60
Augusta-Margaret River,2726,4015,5285,1142
Bassendean,2723,5780,5841,1579
Bayswater,10910,27518,24252,6813
Belmont,6430,16984,12827,3842
Beverley,291,262,773,240
Boddington,381,939,1020,131
Boyup Brook,341,444,730,223
Bridgetown-Greenbushes,912,1003,2072,526
Brookton,186,237,404,165
Broome,4073,6794,5885,499
Broomehill-Tambellup,353,305,411,98
Bruce Rock,223,262,394,117
Bunbury,5795,11627,12626,3575
Busselton,7241,9856,13325,3868
Cambridge,5740,8565,10623,3069
Canning,16065,40304,32696,7291
Capel,4411,5215,6049,772
Carnamah,102,143,261,44
Carnarvon,1304,1913,2421,501
Chapman Valley,248,317,557,92
Chittering,1031,1297,2252,416
Claremont,1574,3518,3752,1515
Cockburn,20782,39797,35743,7029
Collie,1820,2988,4042,842
Coolgardie,1036,1707,1430,151
Coorow,170,264,496,155
Corrigin,201,231,488,179
Cottesloe,1417,2888,3413,854
Cranbrook,232,319,443,107
Cuballing,189,199,412,78
Cue,39,88,148,23
Cunderdin,255,411,483,153
Dalwallinu,246,413,499,137
Dandaragan,597,826,1489,413
Dardanup,3047,4622,4919,1203
Denmark,1086,1331,2583,748
Derby-West Kimberley,2141,4786,2852,268
Donnybrook-Balingup,1120,1334,2686,613
Dowerin,156,174,239,103
Dumbleyung,120,158,245,85
Dundas,207,418,489,68
East Fremantle,1383,2210,3346,797
East Pilbara,1867,6445,4518,130
Esperance,3092,4377,5365,1408
Exmouth,517,837,1040,176
Fremantle,4495,10498,11904,3424
Gingin,1009,1220,2424,595
Gnowangerup,354,345,531,73
Goomalling,253,229,385,109
Gosnells,25278,47259,40618,8097
Greater Geraldton,8882,13449,14741,3376
Halls Creek,1011,1689,1117,123
Harvey,5774,8494,9788,1868
Irwin,760,864,1640,516
Jerramungup,199,341,478,67
Joondalup,31241,55623,68581,12178
Kalamunda,11650,19871,22575,5620
Kalgoorlie/Boulder,7582,14163,10851,1167
Katanning,1035,1289,1654,429
Kellerberrin,265,290,486,186
Kent,120,197,179,32
Kojonup,445,525,793,259
Kondinin,161,344,435,102
Koorda,107,81,179,64
Kulin,188,184,378,84
Kwinana,7744,13949,10587,2133
Lake Grace,279,342,634,115
Laverton,152,589,580,36
Leonora,363,1416,935,50
Mandurah,15107,23624,30641,11311
Manjimup,1993,2369,4022,1043
Meekatharra,233,626,619,43
Melville,17377,35728,40979,12251
Menzies,82,133,190,17
Merredin,673,1107,1205,315
Mingenew,92,147,208,39
Moora,562,790,951,232
Morawa,184,275,358,89
Mosman Park,1621,3372,3529,986
Mount Magnet,129,251,293,38
Mount Marshall,87,149,190,45
Mukinbudin,85,112,244,50
Mundaring,7249,11832,17140,3575
Murchison,18,42,49,18
Murray,3231,4435,6575,2063
Nannup,218,248,701,149
Narembeen,142,205,345,118
Narrogin,158,305,361,60
Narrogin,1020,1463,1487,460
Nedlands,4348,6920,9151,2499
Ngaanyatjarraku,382,719,440,43
Northam,2408,3749,4444,1129
Northampton,630,727,1570,452
Nungarin,41,41,106,40
Peppermint Grove,300,499,682,200
Perenjori,123,364,398,39
Perth,1053,12369,5851,1012
Pingelly,247,268,506,174
Plantagenet,921,1374,2299,588
Port Hedland,3291,7666,5253,262
Quairading,206,222,471,195
Ravensthorpe,488,660,946,194
Rockingham,26798,43432,41390,9239
Roebourne,4943,11796,8930,238
Sandstone,11,37,60,8
Serpentine-Jarrahdale,5001,7189,7831,1141
Shark Bay,156,261,416,95
South Perth,6450,19456,16114,4093
Stirling,36878,89310,74475,22654
Subiaco,2773,8696,6614,1610
Swan,27101,45913,44196,7572
Tammin,127,87,158,29
Three Springs,140,185,259,48
Toodyay,768,1056,2386,476
Trayning,59,79,156,48
Upper Gascoyne,85,80,82,15
Victoria Park,4954,18029,11099,3600
Victoria Plains,185,287,379,70
Vincent,4919,17683,11374,2716
Wagin,388,470,826,291
Wandering,91,93,204,50
Wanneroo,42150,68201,57588,10499
Waroona,763,1063,1551,466
West Arthur,196,206,381,104
Westonia,43,81,121,27
Wickepin,172,164,348,66
Williams,186,286,371,85
Wiluna,118,655,482,24
Wongan-Ballidu,399,441,599,147
Woodanilling,113,121,167,28
Wyalkatchem,98,115,226,80
Wyndham-East Kimberley,1987,3603,2848,214
Yalgoo,48,217,161,19
Yilgarn,294,603,690,111
York,614,833,1646,488
Unincorporated WA,0,0,0,0
No usual address,0,0,0,0
Break O'Day,1029,1263,3184,954
Brighton,3895,5212,5673,1033
Burnie,3930,6261,7505,2290
Central Coast,4131,5737,9613,2866
Central Highlands,409,582,1111,253
Circular Head,1805,2414,3271,797
Clarence,9943,15814,21356,6469
Derwent Valley,1945,2832,4112,997
Devonport,4911,7512,9744,3461
Dorset,1313,1764,3036,1045
Flinders,116,95,482,91
George Town,1412,1752,2888,776
Glamorgan/Spring Bay,596,809,2287,745
Glenorchy,8522,14809,16654,5552
Hobart,7244,18935,19135,5159
Huon Valley,3163,4194,7081,1721
Kentish,1223,1628,3003,641
King Island,239,412,736,218
Kingborough,7245,10138,14091,3727
Latrobe,1916,2784,4560,1395
Launceston,12022,23012,24438,7563
Meander Valley,3545,5239,8370,2389
Northern Midlands,2397,3349,5477,1531
Sorell,2604,3950,5570,1413
Southern Midlands,1260,1609,2828,574
Tasman,388,405,1186,384
Waratah/Wynyard,2594,3835,6021,1841
West Coast,905,1413,1941,448
West Tamar,4404,5893,9904,2811
Unincorporated Tas,0,0,0,0
No usual address (Tas.),0,0,0,0
Alice Springs,6267,11121,10272,1060
Barkly,2132,3245,2377,302
Belyuen,57,91,58,7
Central Desert,1216,1855,1187,125
Coomalie,181,357,703,69
Darwin,14932,33736,29425,3577
East Arnhem,3190,4848,2574,160
Katherine,2691,4028,3809,400
Litchfield,4127,7379,9105,769
MacDonnell,1635,3250,1877,158
Palmerston,8230,14165,8878,815
Roper Gulf,2111,3058,1866,181
Tiwi Islands,763,1390,887,54
Victoria-Daly,2320,2852,1654,163
Wagait,57,87,264,26
West Arnhem,2034,3260,2015,105
Unincorporated NT,1860,3890,3303,119
No usual address,0,0,0,0
Unincorporated ACT,70451,150328,132627,28082
No usual address,0,0,0,0
Unincorp. Other Territories,507,1434,1132,111
No usual address,0,0,0,0
